timestamp,activity,x_gyro,y_gyro,z_gyro,x_accel,y_accel,z_accel
194419,sitting,-8148,3248,-14184,-435,-20,31
194920,sitting,-8180,3180,-14160,-426,-17,-25
195421,sitting,-8164,3096,-14124,-440,-5,8
195922,sitting,-8284,3176,-14232,-440,1,-5
196423,sitting,-8164,3204,-14192,-424,-7,-3
196924,sitting,-8164,3220,-14096,-444,-38,15
197425,sitting,-8136,3164,-14308,-406,-9,0
197926,sitting,-8160,3216,-14192,-456,-13,5
198427,sitting,-8164,3184,-14148,-470,5,-9
198928,sitting,-8184,3200,-14228,-435,-21,-31
199429,sitting,-8208,3136,-14088,-431,-9,10
199930,sitting,-8204,3220,-14120,-427,-26,27
200431,sitting,-8176,3140,-14116,-427,-28,36
200932,sitting,-8096,3244,-14128,-455,-4,9
201433,sitting,-8156,3156,-14272,-419,-4,-13
201934,sitting,-8116,3104,-14164,-448,-23,-6
202435,sitting,-8196,3216,-14004,-428,-14,-31
202936,sitting,-8164,3192,-14172,-453,-15,-14
203437,sitting,-8148,3188,-14148,-437,2,-17
203938,sitting,-8252,3164,-14112,-402,-18,2
204439,sitting,-8004,3184,-14180,-435,-26,10
204940,sitting,-8148,3168,-14032,-411,-18,24
205441,sitting,-8236,3256,-14076,-454,9,-7
205942,sitting,-8224,3252,-14092,-436,-24,5
206443,sitting,-8200,3232,-14140,-427,-14,-17
206944,sitting,-8168,3272,-14148,-410,-22,4
207445,sitting,-8180,3160,-14024,-424,-20,3
207946,sitting,-8248,3236,-14104,-415,-23,-20
208447,sitting,-8276,3176,-14164,-448,-1,-4
208948,sitting,-8068,3312,-14108,-427,-12,-18
209449,sitting,-8212,3188,-14076,-445,-39,1
209950,sitting,-8156,3164,-14096,-436,-12,-1
210451,sitting,-8140,3104,-14020,-439,-3,18
210952,sitting,-8208,3244,-14032,-423,-8,13
211453,sitting,-8096,3132,-14108,-418,4,7
211954,sitting,-8144,3204,-14176,-425,-21,-15
212455,sitting,-8104,3216,-14136,-431,14,15
212956,sitting,-8176,3132,-14188,-453,-7,21
213457,sitting,-8164,3132,-14084,-423,-10,-3
213958,sitting,-8256,3132,-14272,-452,-23,7
214459,sitting,-8056,3176,-14144,-431,-35,-6
214960,sitting,-8196,3156,-14136,-466,-9,12
215461,sitting,-8164,3160,-14236,-462,-4,-23
215962,sitting,-8200,3220,-14188,-454,-2,9
216463,sitting,-8048,3208,-14200,-435,-17,-17
216964,sitting,-8156,3272,-14220,-438,-17,10
217465,sitting,-8272,3264,-14076,-433,-10,-11
217966,sitting,-8204,3144,-14064,-425,-8,-4
218467,sitting,-8264,3248,-14236,-422,-20,5
218968,sitting,-8184,3248,-14104,-428,-17,-25
219469,sitting,-8080,3264,-14152,-423,-25,-3
219970,sitting,-8200,3236,-14232,-414,10,3
220471,sitting,-8248,3220,-14008,-480,3,2
220972,sitting,-8088,3196,-14228,-452,-44,-3
221473,sitting,-8244,3220,-14116,-431,-13,-4
221974,sitting,-8072,3160,-14252,-435,-11,-35
222475,sitting,-8208,3188,-14244,-426,14,10
222976,sitting,-8216,3240,-14124,-415,4,2
223477,sitting,-8096,3180,-14200,-455,-31,5
223978,sitting,-8252,3220,-14052,-411,-8,-5
224479,sitting,-8192,3268,-14108,-422,6,13
224980,sitting,-8232,3180,-14116,-456,2,-15
225481,sitting,-8192,3244,-14156,-431,-41,-52
225982,sitting,-8192,3148,-14152,-455,10,44
226483,sitting,-8180,3192,-14164,-439,9,8
226984,sitting,-8224,3124,-14144,-436,-3,-22
227485,sitting,-8284,3260,-13944,-455,5,15
227986,sitting,-8132,3148,-14156,-440,-20,-16
228487,sitting,-8224,3168,-14024,-461,6,-20
228988,sitting,-8280,3220,-14176,-467,-6,28
229490,sitting,-8160,3140,-14148,-424,-5,13
229991,sitting,-8140,3240,-14180,-418,-16,-7
230492,sitting,-8204,3264,-14144,-444,-27,0
230993,sitting,-8336,3260,-14128,-430,7,17
231494,sitting,-8160,3268,-14232,-449,14,-5
231995,sitting,-8204,3128,-14164,-447,-54,6
232496,sitting,-8132,3256,-14076,-441,-12,-3
232997,sitting,-8180,3224,-14040,-426,-13,-4
233498,sitting,-8180,3256,-14224,-437,-6,3
233999,sitting,-8180,3212,-14256,-444,-25,-11
234500,sitting,-8192,3232,-14140,-425,-21,-1
235001,sitting,-8184,3272,-14232,-431,-43,-21
235502,sitting,-8084,3156,-14216,-420,13,18
236003,sitting,-8132,3268,-14148,-434,-19,14
236504,sitting,-8152,3208,-14068,-443,-11,-12
237005,sitting,-8248,3116,-14160,-440,-24,6
237506,sitting,-8156,3208,-14152,-419,-17,14
238007,sitting,-8200,3184,-14132,-443,-21,-2
238508,sitting,-8152,3268,-14040,-408,10,-12
239009,sitting,-8268,3252,-14088,-410,-3,-13
239510,sitting,-8164,3144,-14092,-440,-22,1
240011,sitting,-8180,3168,-14044,-451,-34,4
240512,sitting,-8120,3200,-14168,-404,-12,6
241013,sitting,-8140,3180,-14008,-431,-19,-6
241514,sitting,-8192,3204,-14168,-439,-17,1
242015,sitting,-8124,3212,-14176,-418,-18,-4
242516,sitting,-8144,3252,-14168,-427,-18,-1
243017,sitting,-8160,3152,-14132,-433,7,-34
243518,sitting,-8128,3240,-14236,-439,-24,18
244019,sitting,-8172,3156,-14144,-429,-33,17
244520,sitting,-8080,3116,-14180,-436,-20,-18
245021,sitting,-8160,3208,-14120,-448,-27,2
245522,sitting,-8224,3152,-14168,-456,-2,-11
246023,sitting,-8188,3252,-14120,-452,-10,6
246524,sitting,-8224,3224,-14220,-454,-14,-24
247025,sitting,-8280,3180,-14152,-441,-17,4
247526,sitting,-8112,3232,-14164,-450,-33,-39
248027,sitting,-8148,3312,-14040,-436,2,-15
248528,sitting,-8156,3244,-13976,-424,-8,6
249029,sitting,-8100,3184,-14104,-449,-48,7
249530,sitting,-8164,3280,-14192,-424,-39,-17
250031,sitting,-8244,3252,-14060,-429,-12,-7
250532,sitting,-8176,3144,-14148,-454,-1,3
251033,sitting,-8128,3200,-14152,-436,-13,7
251534,sitting,-8140,3256,-14172,-436,-23,0
252035,sitting,-8216,3168,-14196,-441,-19,-9
252536,sitting,-8156,3224,-14204,-466,16,5
253037,sitting,-8212,3188,-14204,-418,10,-4
253538,sitting,-8140,3128,-14248,-435,-9,-11
254039,sitting,-8156,3112,-14256,-442,-8,-13
254540,sitting,-8172,3228,-14364,-429,17,24
255041,sitting,-8164,3248,-14180,-421,-9,33
255542,sitting,-8100,3148,-14144,-408,7,5
256043,sitting,-8132,3288,-14232,-442,14,-3
256544,sitting,-8196,3172,-14200,-474,-55,1
257045,sitting,-8148,3164,-14108,-453,26,14
257546,sitting,-8144,3200,-14116,-432,-19,3
258047,sitting,-8108,3216,-14036,-436,-26,-9
258548,sitting,-8224,3180,-14204,-417,2,19
259049,sitting,-8232,3224,-14180,-439,-21,-3
259550,sitting,-8100,3220,-14176,-434,-10,22
260051,sitting,-8144,3196,-14176,-430,13,46
260552,sitting,-8220,3140,-14156,-417,-51,20
261053,sitting,-8212,3148,-14176,-413,-62,2
261554,sitting,-8188,3220,-14180,-437,14,-10
262055,sitting,-8188,3260,-14168,-450,-13,-1
262556,sitting,-8252,3216,-14188,-451,10,33
